time,heading,speedDelta
16979,8.488238,100
16999,10.434897,100
17019,12.406636,100
17039,14.376408,100
17059,16.356766,100
17079,18.322577,100
17099,20.318494,100
17119,22.309508,100
17139,24.285549,100
17159,26.250910,100
17179,28.213784,100
17199,30.157506,100
17219,32.135104,100
17239,34.123921,100
17259,36.109458,100
17279,38.079695,100
17299,40.044796,100
17319,42.015045,100
17339,43.990610,100
17359,45.953994,100
17379,47.922312,100
17399,49.898445,100
17419,51.862757,100
17439,53.872132,-100
17459,55.869340,-100
17479,57.864843,-100
17499,59.841851,-100
17519,61.790678,-100
17539,63.719776,-100
17559,65.624351,-100
17579,67.481026,-100
17599,69.265661,-100
17619,70.927526,-100
17639,72.399214,-100
17659,73.671909,-100
17679,74.748716,-100
17699,75.663031,-100
17719,76.375829,-100
17739,76.897740,-100
17759,77.272566,-100
17779,77.440270,-100
17799,77.363655,-100
17819,77.329952,-100
17839,77.315449,-100
17859,77.277520,-100
17879,77.279245,-100
17899,77.245207,-100
17919,77.178311,-100
17939,76.962844,-100
17959,76.054483,-100
17979,74.468432,-100
17999,72.582493,-100
18019,70.640262,-100
18039,68.599933,-100
18059,66.553966,-100
18079,64.512175,-100
18099,62.495092,-100
18119,60.480389,-100
18139,58.464894,-100
18159,56.442940,-100
18179,54.456393,-100
18199,52.458869,-100
18219,50.489351,-100
18239,48.470087,-100
18259,46.459187,-100
18279,44.407182,-100
18299,42.362672,-100
18319,40.302580,-100
18339,38.235669,-100
18359,36.168655,-100
18379,34.150123,-100
18399,32.112728,-100
18419,30.103668,-100
18439,28.097370,-100
18459,26.122517,-100
18479,24.141653,-100
18499,22.134286,-100
18519,20.125406,-100
18539,18.105377,-100
18559,16.116015,-100
18579,14.154686,-100
18599,12.195829,-100
18619,10.226589,-100
18639,8.243908,-100
18659,6.196887,-100
18679,4.172720,-100
18699,2.163565,-100
18719,0.164232,-100
18739,-1.834910,-100
18759,-3.832576,-100
18779,-5.823180,-100
18799,-7.807596,-100
18819,-9.810932,-100
18839,-11.826780,-100
18859,-13.837000,-100
18879,-15.879214,-100
18899,-17.928638,-100
18919,-19.962696,-100
18939,-21.967219,-100
18959,-23.973437,-100
18979,-25.983412,-100
18999,-28.004329,-100
19019,-30.031311,-100
19039,-32.057814,-100
19059,-34.119807,-100
19079,-36.150667,-100
19099,-38.164836,100
19119,-40.188279,100
19139,-42.212706,100
19159,-44.197451,100
19179,-46.130984,100
19199,-48.025635,100
19219,-49.847835,100
19239,-51.609667,100
19259,-53.270075,100
19279,-54.791416,100
19299,-56.115994,100
19319,-57.228971,100
19339,-58.111555,100
19359,-58.809233,100
19379,-59.286324,100
19399,-59.582699,100
19419,-59.652927,100
19439,-59.593530,100
19459,-59.659960,100
19479,-59.658551,100
19499,-59.643281,100
19519,-59.577289,100
19539,-59.525610,100
19559,-59.338124,100
19579,-58.761615,100
19599,-57.768601,100
19619,-56.506707,100
19639,-54.965720,100
19659,-53.131421,100
19679,-51.214325,100
19699,-49.308686,100
19719,-47.366975,100
19739,-45.377120,100
19759,-43.335223,100
19779,-41.321379,100
19799,-39.306188,100
19819,-37.264740,100
19839,-35.290173,100
19859,-33.285213,100
19879,-31.289035,100
19899,-29.312474,100
19919,-27.368001,100
19939,-25.429840,100
19959,-23.492470,100
19979,-21.560674,100
19999,-19.653111,100
20019,-17.729183,100
20039,-15.819135,100
20059,-13.880727,100
20079,-11.933153,100
20099,-9.974282,100
20119,-8.026476,100
20139,-6.054833,100
20159,-4.104609,100
20179,-2.137801,100
20199,-0.182072,100
20219,1.783711,100
20239,3.732377,100
20259,5.686590,100
20279,7.628372,100
20299,9.591232,100
20319,11.550212,100
20339,13.544327,100
20359,15.542239,100
20379,17.514853,100
20399,19.486618,100
20419,21.456829,100
20439,23.419782,100
20459,25.383681,100
20479,27.353289,100
20499,29.303758,100
20519,31.254666,100
20539,33.248627,100
20559,35.232858,100
20579,37.209953,100
20599,39.183473,100
20619,41.145064,100
20639,43.131645,100
20659,45.099881,100
20679,47.074650,100
20699,49.044692,100
20719,51.028806,100
20739,53.007669,-100
20759,55.020682,-100
20779,57.028133,-100
20799,59.016885,-100
20819,60.938974,-100
20839,62.803848,-100
20859,64.681112,-100
20879,66.497930,-100
20899,68.216840,-100
20919,69.826944,-100
20939,71.241401,-100
20959,72.450533,-100
20979,73.453358,-100
20999,74.282189,-100
21019,74.938601,-100
21039,75.430472,-100
21059,75.756456,-100
21079,75.858376,-100
21099,75.753178,-100
21119,75.741360,-100
21139,75.702004,-100
21159,75.688968,-100
21179,75.679880,-100
21199,75.628692,-100
21219,75.485065,-100
21239,75.149566,-100
21259,74.052899,-100
21279,72.341332,-100
21299,70.382913,-100
21319,68.431283,-100
21339,66.414739,-100
21359,64.363210,-100
21379,62.296449,-100
21399,60.246052,-100
21419,58.187121,-100
21439,56.156812,-100
21459,54.149375,-100
21479,52.168633,-100
21499,50.183966,-100
21519,48.178535,-100
21539,46.157848,-100
21559,44.138594,-100
21579,42.125931,-100
21599,40.117741,-100
21619,38.078109,-100
21639,36.061441,-100
21659,34.038974,-100
21679,32.009892,-100
21699,29.958570,-100
21719,27.925330,-100
21739,25.897790,-100
21759,23.879087,-100
21779,21.855000,-100
21799,19.847458,-100
21819,17.855132,-100
21839,15.869774,-100
21859,13.886765,-100
21879,11.929452,-100
21899,9.954530,-100
21919,7.955292,-100
21939,5.898545,-100
21959,3.876631,-100
21979,1.879060,-100
21999,-0.095698,-100
22019,-2.078625,-100
22039,-4.060418,-100
22059,-6.036938,-100
22079,-8.018362,-100
22099,-10.021643,-100
22119,-12.028038,-100
22139,-14.062410,-100
22159,-16.086414,-100
22179,-18.116073,-100
22199,-20.124722,-100
22219,-22.119382,-100
22239,-24.108348,-100
